asnC	asnA	1
asnC	mnmG	1
asnC	mioC	1
nac	asnC	1
nac	mnmG	1
nac	codA	1
nac	mioC	1
nac	gdhA	1
nac	serA	1
nac	codB	1
nac	nupC	1
asnC	nac	0
asnC	codA	0
asnC	gdhA	0
asnC	serA	0
asnC	codB	0
asnC	nupC	0
asnA	asnC	0
asnA	mnmG	0
asnA	nac	0
asnA	codA	0
asnA	mioC	0
asnA	gdhA	0
asnA	serA	0
asnA	codB	0
asnA	nupC	0
mnmG	asnC	0
mnmG	asnA	0
mnmG	nac	0
mnmG	codA	0
mnmG	mioC	0
mnmG	gdhA	0
mnmG	serA	0
mnmG	codB	0
mnmG	nupC	0
nac	asnA	0
codA	asnC	0
codA	asnA	0
codA	mnmG	0
codA	nac	0
codA	mioC	0
codA	gdhA	0
codA	serA	0
codA	codB	0
codA	nupC	0
mioC	asnC	0
mioC	asnA	0
mioC	mnmG	0
mioC	nac	0
mioC	codA	0
mioC	gdhA	0
mioC	serA	0
mioC	codB	0
mioC	nupC	0
gdhA	asnC	0
gdhA	asnA	0
gdhA	mnmG	0
gdhA	nac	0
gdhA	codA	0
gdhA	mioC	0
gdhA	serA	0
gdhA	codB	0
gdhA	nupC	0
serA	asnC	0
serA	asnA	0
serA	mnmG	0
serA	nac	0
serA	codA	0
serA	mioC	0
serA	gdhA	0
serA	codB	0
serA	nupC	0
codB	asnC	0
codB	asnA	0
codB	mnmG	0
codB	nac	0
codB	codA	0
codB	mioC	0
codB	gdhA	0
codB	serA	0
codB	nupC	0
nupC	asnC	0
nupC	asnA	0
nupC	mnmG	0
nupC	nac	0
nupC	codA	0
nupC	mioC	0
nupC	gdhA	0
nupC	serA	0
nupC	codB	0
